0,1,2,3,4,5,6,7,8,9,10
91559.0,91559.0,91639.0,91779.0,95499.0,98739.0,100659.0,102059.0,101999.0,102219.0,102859.0
91639.0,92099.0,92039.0,91819.0,95579.0,98719.0,100559.0,102019.0,101759.0,102299.0,102839.0
92099.0,92179.0,92519.0,92199.0,95779.0,98879.0,100619.0,101919.0,101979.0,102499.0,102959.0
93299.0,92979.0,93039.0,92899.0,96279.0,99059.0,100879.0,102299.0,102079.0,102499.0,103079.0
93279.0,93659.0,93959.0,93139.0,95959.0,98999.0,100819.0,102299.0,102399.0,102619.0,103319.0
94279.0,93999.0,93979.0,93639.0,95819.0,98379.0,100319.0,101639.0,101599.0,101899.0,102599.0
94499.0,94279.0,93999.0,94399.0,96999.0,99259.0,100979.0,102339.0,102199.0,102639.0,103199.0
91859.0,92079.0,92219.0,92179.0,94779.0,97599.0,99319.0,100699.0,100719.0,101059.0,101479.0
95599.0,95719.0,95759.0,95819.0,98199.0,100879.0,102659.0,103919.0,103899.0,104179.0,104739.0
95919.0,95519.0,95939.0,96459.0,96819.0,98859.0,100459.0,101919.0,101859.0,102439.0,102759.0
94799.0,95219.0,94959.0,95079.0,96059.0,97859.0,99439.0,100699.0,100519.0,100979.0,101519.0
