0,1,2,3,4,5,6,7,8,9,10
203619.0,221319.0,219979.0,219359.0,220659.0,220499.0,219379.0,218759.0,218959.0,219179.0,219499.0
208719.0,223279.0,221899.0,220259.0,220979.0,220519.0,219319.0,218959.0,219179.0,219419.0,219719.0
214679.0,222979.0,225759.0,224179.0,224159.0,223999.0,223999.0,223859.0,223979.0,224159.0,224359.0
220199.0,233899.0,232559.0,230279.0,230399.0,229679.0,228439.0,226999.0,226079.0,225439.0,225239.0
221519.0,228339.0,227599.0,229019.0,227979.0,226779.0,226359.0,226179.0,226479.0,226839.0,227239.0
225919.0,238699.0,237439.0,235519.0,235719.0,234979.0,233859.0,232639.0,232259.0,232359.0,232659.0
227039.0,227039.0,228279.0,230079.0,230959.0,231079.0,230919.0,230699.0,230659.0,230779.0,230899.0
234619.0,234619.0,241519.0,240959.0,240859.0,240739.0,240739.0,240659.0,240699.0,240779.0,240859.0
241559.0,242119.0,243639.0,245119.0,246679.0,246979.0,246759.0,246819.0,246979.0,247159.0,247319.0
237119.0,237119.0,239239.0,240619.0,241019.0,241079.0,241179.0,241159.0,241119.0,241179.0,241219.0
247899.0,247899.0,249479.0,252299.0,253619.0,253639.0,253139.0,252599.0,252339.0,252279.0,252359.0
