0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,212199.0,214859.0,216739.0,216939.0,217479.0,217939.0,218679.0,219459.0
205679.0,205679.0,205679.0,212019.0,214719.0,216679.0,217079.0,217799.0,218379.0,219199.0,219999.0
210799.0,210799.0,210799.0,215839.0,218579.0,220899.0,221679.0,222659.0,223359.0,224219.0,225019.0
218019.0,218019.0,218019.0,220879.0,222839.0,224579.0,224999.0,225499.0,225899.0,226459.0,227019.0
212739.0,212739.0,212739.0,212739.0,214139.0,216699.0,217819.0,218699.0,219299.0,219899.0,220479.0
216619.0,216619.0,216619.0,219459.0,220779.0,221639.0,221419.0,221299.0,221139.0,221259.0,221499.0
221119.0,221119.0,221119.0,221119.0,221259.0,223379.0,224699.0,225419.0,225799.0,226319.0,226839.0
237379.0,237379.0,237379.0,242739.0,245459.0,247159.0,246979.0,246819.0,246419.0,246439.0,246579.0
236959.0,236959.0,236959.0,238959.0,239579.0,239939.0,239859.0,239819.0,239799.0,239899.0,240119.0
244479.0,244479.0,244479.0,246859.0,247639.0,248159.0,247999.0,247899.0,248019.0,248519.0,249159.0
244239.0,244239.0,244239.0,244239.0,244319.0,244939.0,245319.0,245619.0,245959.0,246359.0,246739.0
