0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,203619.0,208099.0,211419.0,213419.0,214879.0,214739.0,215179.0,215779.0
209359.0,209359.0,209359.0,209359.0,210919.0,213139.0,214599.0,215819.0,215639.0,216039.0,216539.0
212619.0,212619.0,212619.0,212619.0,214319.0,216259.0,217579.0,218699.0,218559.0,218919.0,219399.0
218559.0,218559.0,218559.0,218559.0,220119.0,221599.0,222319.0,223019.0,222859.0,223079.0,223399.0
224819.0,224819.0,224819.0,224819.0,225719.0,226899.0,227959.0,228879.0,228839.0,229199.0,229599.0
227579.0,227579.0,227579.0,227579.0,228419.0,229159.0,229539.0,229799.0,229679.0,229759.0,229899.0
231659.0,231659.0,231659.0,231659.0,232459.0,233039.0,233519.0,233919.0,233939.0,234119.0,234439.0
230699.0,230699.0,230699.0,230699.0,231339.0,231839.0,232359.0,232879.0,232959.0,233179.0,233479.0
231379.0,231379.0,231379.0,231379.0,232079.0,232699.0,233019.0,233359.0,233299.0,233419.0,233599.0
231019.0,231019.0,231019.0,231019.0,231779.0,232459.0,232819.0,233159.0,233039.0,233139.0,233259.0
242199.0,242199.0,242199.0,242199.0,243459.0,244999.0,245839.0,246559.0,246399.0,246579.0,246899.0
