0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,208099.0,211959.0,214799.0,214739.0,215479.0,215819.0,215959.0,216159.0
209059.0,209059.0,209059.0,210499.0,213619.0,216159.0,216059.0,216719.0,217039.0,217179.0,217359.0
213519.0,213519.0,213519.0,214779.0,216899.0,218739.0,218639.0,219219.0,219539.0,219679.0,219859.0
219719.0,219719.0,219719.0,220739.0,222319.0,223899.0,223699.0,224079.0,224299.0,224399.0,224579.0
221619.0,221619.0,221619.0,223419.0,225439.0,226899.0,226719.0,226999.0,227079.0,227079.0,227139.0
229019.0,229019.0,229019.0,229999.0,231039.0,231759.0,231599.0,231899.0,232119.0,232219.0,232279.0
233679.0,233679.0,233679.0,234679.0,235819.0,236639.0,236619.0,237059.0,237379.0,237479.0,237579.0
235979.0,235979.0,235979.0,236799.0,237439.0,237919.0,237979.0,238359.0,238539.0,238659.0,238699.0
238479.0,238479.0,238479.0,239339.0,240099.0,240519.0,240399.0,240599.0,240759.0,240859.0,240959.0
241659.0,241659.0,241659.0,242519.0,243439.0,244039.0,243899.0,243899.0,243939.0,244039.0,244139.0
250239.0,250239.0,250239.0,252179.0,254339.0,255659.0,255279.0,255279.0,255219.0,255099.0,255039.0
