0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,211419.0,214799.0,214779.0,215779.0,215839.0,216159.0,216199.0,216419.0
208939.0,208939.0,208939.0,213079.0,215859.0,215759.0,216639.0,216659.0,216939.0,216999.0,217199.0
214519.0,214519.0,214519.0,216759.0,218919.0,218839.0,219479.0,219439.0,219639.0,219659.0,219819.0
218639.0,218639.0,218639.0,220999.0,222539.0,222199.0,222559.0,222479.0,222619.0,222639.0,222779.0
222559.0,222559.0,222559.0,224799.0,225879.0,225539.0,225779.0,225679.0,225779.0,225759.0,225839.0
228219.0,228219.0,228219.0,230219.0,231759.0,231619.0,232039.0,231979.0,232119.0,232139.0,232239.0
234259.0,234259.0,234259.0,236359.0,237619.0,237319.0,237399.0,237199.0,237179.0,237139.0,237199.0
237699.0,237699.0,237699.0,239239.0,240679.0,240479.0,240759.0,240659.0,240719.0,240719.0,240819.0
236279.0,236279.0,236279.0,237759.0,238419.0,238359.0,238579.0,238639.0,238799.0,238819.0,238959.0
247539.0,247539.0,247539.0,249239.0,249879.0,249759.0,249799.0,249799.0,249799.0,249839.0,249899.0
244219.0,244219.0,244219.0,245799.0,246499.0,246459.0,246619.0,246559.0,246559.0,246519.0,246539.0
