0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,203619.0,208099.0,211419.0,213419.0,214879.0,214739.0,215179.0,215779.0
208819.0,208819.0,208819.0,208819.0,211259.0,214259.0,216199.0,217639.0,217499.0,217959.0,218559.0
210999.0,210999.0,210999.0,210999.0,211759.0,212939.0,213939.0,214919.0,214799.0,215139.0,215599.0
213559.0,213559.0,213559.0,213559.0,214979.0,217099.0,218399.0,219439.0,219279.0,219579.0,220039.0
216379.0,216379.0,216379.0,216379.0,217679.0,219199.0,219979.0,220639.0,220479.0,220639.0,220919.0
229219.0,229219.0,229219.0,229219.0,230719.0,232479.0,233299.0,233999.0,233799.0,233979.0,234299.0
199299.0,199299.0,199299.0,199299.0,199959.0,200999.0,201599.0,202219.0,202079.0,202279.0,202579.0
235039.0,235039.0,235039.0,235039.0,236199.0,237599.0,238619.0,239539.0,239419.0,239719.0,240159.0
234859.0,234859.0,234859.0,234859.0,235799.0,236599.0,237079.0,237479.0,237419.0,237479.0,237699.0
247139.0,247139.0,247139.0,247139.0,248239.0,249339.0,249859.0,250259.0,250119.0,250199.0,250359.0
238699.0,238699.0,238699.0,238699.0,239479.0,239999.0,240279.0,240619.0,240579.0,240659.0,240779.0
