0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,203619.0,208099.0,211419.0,213419.0,214879.0,214739.0,215179.0,215779.0
209319.0,209319.0,209319.0,209319.0,210659.0,212939.0,214559.0,215839.0,215699.0,216119.0,216659.0
213539.0,213539.0,213539.0,213539.0,214699.0,216439.0,217659.0,218719.0,218579.0,218919.0,219379.0
218699.0,218699.0,218699.0,218699.0,219679.0,221319.0,222539.0,223539.0,223419.0,223739.0,224179.0
222659.0,222659.0,222659.0,222659.0,223519.0,224559.0,225339.0,226139.0,226059.0,226359.0,226759.0
223879.0,223879.0,223879.0,223879.0,224639.0,225619.0,226279.0,226879.0,226799.0,226959.0,227239.0
234099.0,234099.0,234099.0,234099.0,234859.0,235459.0,235879.0,236399.0,236379.0,236599.0,236899.0
237559.0,237559.0,237559.0,237559.0,238419.0,239159.0,239599.0,240139.0,240139.0,240419.0,240699.0
237559.0,237559.0,237559.0,237559.0,238319.0,238879.0,239219.0,239639.0,239579.0,239819.0,240039.0
243559.0,243559.0,243559.0,243559.0,244719.0,246099.0,246799.0,247379.0,247239.0,247359.0,247639.0
236419.0,236419.0,236419.0,236419.0,237339.0,238179.0,238659.0,239119.0,239019.0,239179.0,239339.0
