0,1,2,3,4,5,6,7,8,9,10
91919.0,105099.0,110719.0,112499.0,109679.0,104779.0,104059.0,104239.0,104819.0,105439.0,105959.0
91979.0,105319.0,110859.0,112559.0,109499.0,104659.0,104019.0,104079.0,104739.0,105339.0,105879.0
92499.0,105359.0,111119.0,113019.0,109779.0,105439.0,104379.0,104599.0,105279.0,105819.0,106359.0
92879.0,105699.0,111439.0,112999.0,109439.0,105199.0,104519.0,104479.0,105199.0,105559.0,106319.0
93459.0,105699.0,110939.0,112619.0,109359.0,105319.0,104659.0,104599.0,105419.0,105999.0,106659.0
94079.0,105019.0,110659.0,112779.0,109139.0,105439.0,105019.0,105199.0,105599.0,106259.0,106939.0
94299.0,103999.0,109399.0,111059.0,108119.0,105519.0,105039.0,105179.0,105659.0,106059.0,106759.0
94999.0,106579.0,111839.0,113599.0,110359.0,105259.0,104219.0,104159.0,104759.0,105219.0,105739.0
95619.0,106559.0,112139.0,114299.0,110579.0,105799.0,104959.0,104879.0,105579.0,106179.0,106579.0
96359.0,105139.0,109899.0,111919.0,108619.0,105979.0,105719.0,105799.0,106339.0,106679.0,107459.0
96099.0,107119.0,113159.0,114399.0,111019.0,106199.0,105439.0,105679.0,106119.0,106679.0,107279.0
