0,1,2,3,4,5,6,7,8,9,10
91499.0,109559.0,112599.0,114059.0,113939.0,107399.0,105019.0,105119.0,105139.0,105579.0,106019.0
92239.0,108979.0,112639.0,113859.0,114139.0,107479.0,105299.0,104919.0,105079.0,105579.0,105919.0
92619.0,108999.0,112459.0,113499.0,114119.0,107659.0,105059.0,104659.0,104999.0,105419.0,105919.0
93079.0,108959.0,112539.0,114099.0,114219.0,107879.0,104659.0,104819.0,105199.0,105579.0,105999.0
93059.0,108919.0,112279.0,113579.0,113839.0,107179.0,105079.0,104959.0,105299.0,105779.0,106319.0
94199.0,108379.0,112019.0,113059.0,113539.0,106719.0,105499.0,105259.0,105359.0,105599.0,106219.0
93959.0,108879.0,112539.0,113959.0,114079.0,107539.0,105799.0,105319.0,105479.0,105639.0,106139.0
95519.0,108439.0,111839.0,112899.0,113539.0,107019.0,105959.0,105679.0,105799.0,106199.0,106639.0
95119.0,110719.0,113999.0,114939.0,115819.0,108499.0,106779.0,106099.0,105939.0,106199.0,106619.0
96559.0,108879.0,112539.0,113579.0,113799.0,107339.0,105699.0,105619.0,105459.0,106099.0,106379.0
96619.0,108279.0,111979.0,113019.0,113139.0,107499.0,106899.0,106319.0,106419.0,106959.0,107379.0
