0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,203619.0,203619.0,203619.0,208099.0,211219.0,211959.0,213419.0,214799.0
203719.0,203719.0,203719.0,203719.0,203719.0,203719.0,206019.0,208799.0,209459.0,210819.0,212159.0
207899.0,207899.0,207899.0,207899.0,207899.0,207899.0,208819.0,210199.0,210599.0,211519.0,212539.0
217499.0,217499.0,217499.0,217499.0,217499.0,217499.0,218419.0,219639.0,219999.0,220959.0,221979.0
211939.0,211939.0,211939.0,211939.0,211939.0,211939.0,213019.0,214599.0,214939.0,215779.0,216719.0
225519.0,225519.0,225519.0,225519.0,225519.0,225519.0,226639.0,227899.0,228039.0,228459.0,228939.0
233859.0,233859.0,233859.0,233859.0,233859.0,233859.0,235039.0,236299.0,236499.0,236919.0,237419.0
228859.0,228859.0,228859.0,228859.0,228859.0,228859.0,229679.0,230339.0,230459.0,230759.0,231019.0
242039.0,242039.0,242039.0,242039.0,242039.0,242039.0,242879.0,243459.0,243639.0,243939.0,244199.0
200079.0,200079.0,200079.0,200079.0,200079.0,200079.0,201019.0,202539.0,202859.0,203739.0,204699.0
239559.0,239559.0,239559.0,239559.0,239559.0,239559.0,241679.0,243919.0,244279.0,245119.0,246059.0
