0,1,2,3,4,5,6,7,8,9,10
203619.0,226999.0,228119.0,223719.0,218359.0,217959.0,218519.0,218999.0,219299.0,219699.0,220059.0
205999.0,225899.0,226979.0,222639.0,217199.0,216639.0,217139.0,217579.0,217839.0,218199.0,218539.0
210539.0,231199.0,232319.0,227899.0,221519.0,219399.0,219559.0,219899.0,220119.0,220459.0,220779.0
218679.0,230639.0,231659.0,227659.0,225479.0,225279.0,225819.0,226259.0,226559.0,226959.0,227339.0
224559.0,230199.0,231259.0,228779.0,229339.0,229259.0,229419.0,229479.0,229619.0,229919.0,230219.0
226319.0,228699.0,233819.0,235819.0,236559.0,236199.0,236159.0,236039.0,235799.0,235679.0,235579.0
233619.0,245659.0,246679.0,242699.0,237259.0,235459.0,235359.0,235699.0,236039.0,236459.0,236859.0
235159.0,236219.0,238399.0,238979.0,239579.0,239679.0,239839.0,239879.0,239899.0,239939.0,239999.0
238479.0,249639.0,250439.0,247519.0,243739.0,242419.0,242119.0,241919.0,241759.0,241739.0,241819.0
241439.0,242479.0,244539.0,245239.0,245599.0,245419.0,245479.0,245339.0,245359.0,245379.0,245339.0
248759.0,269459.0,0.0,265519.0,259939.0,258419.0,258079.0,257799.0,257459.0,257299.0,257199.0
