0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,203619.0,203619.0,203619.0,208099.0,211219.0,211959.0,213419.0,214799.0
205719.0,205719.0,205719.0,205719.0,205719.0,205719.0,208919.0,211879.0,212579.0,213979.0,215339.0
207399.0,207399.0,207399.0,207399.0,207399.0,207399.0,208339.0,209799.0,210219.0,211199.0,212299.0
213659.0,213659.0,213659.0,213659.0,213659.0,213659.0,214379.0,215279.0,215719.0,216699.0,217799.0
220139.0,220139.0,220139.0,220139.0,220139.0,220139.0,222559.0,224919.0,225319.0,226259.0,227219.0
219799.0,219799.0,219799.0,219799.0,219799.0,219799.0,220639.0,221599.0,221699.0,222039.0,222419.0
227139.0,227139.0,227139.0,227139.0,227139.0,227139.0,228059.0,229039.0,229239.0,229619.0,230119.0
239079.0,239079.0,239079.0,239079.0,239079.0,239079.0,240079.0,240979.0,241179.0,241719.0,242439.0
237299.0,237299.0,237299.0,237299.0,237299.0,237299.0,238059.0,238679.0,238839.0,239219.0,239579.0
247159.0,247159.0,247159.0,247159.0,247159.0,247159.0,248659.0,250299.0,250539.0,251039.0,251659.0
197519.0,197519.0,197519.0,197519.0,197519.0,197519.0,197899.0,198379.0,198419.0,198539.0,198699.0
