0,1,2,3,4,5,6,7,8,9,10
203619.0,204479.0,217159.0,216619.0,218839.0,219379.0,218299.0,218459.0,218619.0,218999.0,219439.0
209359.0,209359.0,219979.0,218599.0,219839.0,220339.0,220719.0,220839.0,220679.0,220739.0,220899.0
211419.0,211419.0,216119.0,215979.0,217739.0,218599.0,219239.0,219559.0,219479.0,219519.0,219599.0
218719.0,218879.0,227239.0,225379.0,227379.0,228259.0,227239.0,226739.0,226679.0,226859.0,227179.0
222039.0,222039.0,224939.0,226619.0,229019.0,229839.0,229139.0,228719.0,228599.0,228819.0,229139.0
228379.0,228379.0,228379.0,228379.0,228779.0,229839.0,230819.0,231479.0,231899.0,232219.0,232459.0
207519.0,207519.0,207659.0,209399.0,211219.0,211859.0,211519.0,211619.0,211799.0,212099.0,212419.0
226619.0,226619.0,229759.0,232779.0,235559.0,236339.0,235079.0,234299.0,234139.0,234319.0,234579.0
235319.0,235319.0,245979.0,248099.0,249979.0,250419.0,248679.0,247199.0,246259.0,245779.0,245639.0
244759.0,245039.0,254919.0,253219.0,252899.0,252479.0,252219.0,251759.0,251259.0,250779.0,250519.0
244359.0,244359.0,249059.0,249939.0,250619.0,250839.0,249899.0,249259.0,248879.0,248739.0,248779.0
