0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,211419.0,214799.0,214779.0,215779.0,215839.0,216159.0,216199.0,216419.0
209319.0,209319.0,209319.0,213659.0,216559.0,216499.0,217419.0,217439.0,217739.0,217799.0,217999.0
214499.0,214499.0,214499.0,215759.0,217179.0,217159.0,217739.0,217759.0,217939.0,217979.0,218099.0
217259.0,217259.0,217259.0,219259.0,220919.0,220819.0,221459.0,221479.0,221739.0,221779.0,221939.0
225199.0,225199.0,225199.0,227019.0,228019.0,227759.0,227939.0,227819.0,227899.0,227919.0,228019.0
228339.0,228339.0,228339.0,229799.0,230399.0,230259.0,230479.0,230439.0,230519.0,230539.0,230559.0
234659.0,234659.0,234659.0,237739.0,238599.0,238259.0,238539.0,238579.0,238779.0,238859.0,238979.0
236459.0,236459.0,236459.0,238319.0,239019.0,238759.0,238799.0,238699.0,238739.0,238779.0,238819.0
241859.0,241859.0,241859.0,243559.0,244259.0,244139.0,244299.0,244199.0,244259.0,244299.0,244299.0
242839.0,242839.0,242839.0,244399.0,245059.0,244959.0,245119.0,245179.0,245319.0,245319.0,245379.0
246679.0,246679.0,246679.0,248299.0,248919.0,248819.0,249099.0,249119.0,249319.0,249399.0,249459.0
