0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,203619.0,208099.0,211419.0,213419.0,214879.0,214739.0,215179.0,215779.0
209459.0,209459.0,209459.0,209459.0,210899.0,213299.0,214939.0,216259.0,216119.0,216519.0,217079.0
213239.0,213239.0,213239.0,213239.0,214259.0,216059.0,217539.0,218779.0,218659.0,219079.0,219619.0
218759.0,218759.0,218759.0,218759.0,219799.0,221099.0,221639.0,222099.0,221919.0,221979.0,222179.0
225239.0,225239.0,225239.0,225239.0,226039.0,226779.0,227199.0,227679.0,227639.0,227839.0,228099.0
229179.0,229179.0,229179.0,229179.0,230119.0,231219.0,231719.0,232159.0,232059.0,232159.0,232339.0
216899.0,216899.0,216899.0,216899.0,217719.0,218659.0,219199.0,219719.0,219639.0,219819.0,220119.0
238099.0,238099.0,238099.0,238099.0,239099.0,240119.0,240519.0,240879.0,240699.0,240779.0,240919.0
241879.0,241879.0,241879.0,241879.0,242899.0,243939.0,244379.0,244699.0,244579.0,244579.0,244639.0
245899.0,245899.0,245899.0,245899.0,246879.0,247679.0,248039.0,248419.0,248279.0,248339.0,248519.0
248639.0,248639.0,248639.0,248639.0,249659.0,250439.0,250979.0,251279.0,251239.0,251419.0,251639.0
