0,1,2,3,4,5,6,7,8,9,10
203619.0,217579.0,223459.0,223519.0,221139.0,222219.0,221919.0,220179.0,219239.0,219239.0,219559.0
207579.0,214579.0,220379.0,221019.0,221459.0,222619.0,222379.0,220639.0,219139.0,218599.0,218699.0
213059.0,219779.0,228379.0,231319.0,227739.0,225419.0,224819.0,223759.0,223319.0,223099.0,223179.0
209059.0,217859.0,223639.0,222879.0,221139.0,220199.0,218539.0,217359.0,217199.0,217259.0,217519.0
225039.0,230259.0,234039.0,236419.0,233619.0,232319.0,232179.0,231839.0,231879.0,232039.0,232339.0
227899.0,231699.0,236279.0,236479.0,238919.0,240239.0,239899.0,238359.0,237119.0,236379.0,236039.0
231859.0,242859.0,248939.0,248319.0,246759.0,245959.0,243959.0,241839.0,241079.0,240919.0,241039.0
216819.0,222539.0,231379.0,234299.0,230719.0,228159.0,227219.0,225779.0,224919.0,224259.0,223899.0
242499.0,247199.0,252579.0,251759.0,251839.0,252079.0,251799.0,250219.0,248739.0,247779.0,247179.0
232779.0,234299.0,238539.0,237979.0,237579.0,237659.0,237359.0,235779.0,235339.0,235239.0,235359.0
248199.0,248199.0,248519.0,250259.0,252099.0,253379.0,253639.0,253319.0,252859.0,252579.0,252519.0
