0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,211419.0,214799.0,214779.0,215779.0,215839.0,216159.0,216199.0,216419.0
209399.0,209399.0,209399.0,213679.0,216659.0,216559.0,217439.0,217459.0,217739.0,217779.0,217959.0
214419.0,214419.0,214419.0,217299.0,219019.0,218799.0,219439.0,219459.0,219719.0,219779.0,219959.0
220319.0,220319.0,220319.0,222219.0,223659.0,223419.0,223839.0,223819.0,223979.0,223999.0,224119.0
223679.0,223679.0,223679.0,225439.0,226759.0,226439.0,226779.0,226759.0,226939.0,226999.0,227119.0
229599.0,229599.0,229599.0,231219.0,231779.0,231599.0,231699.0,231639.0,231679.0,231639.0,231699.0
234099.0,234099.0,234099.0,236239.0,236999.0,236599.0,236559.0,236379.0,236319.0,236179.0,236219.0
237439.0,237439.0,237439.0,239099.0,240039.0,239839.0,240059.0,239999.0,240119.0,240099.0,240199.0
242259.0,242259.0,242259.0,243859.0,245059.0,245159.0,245399.0,245339.0,245419.0,245399.0,245519.0
245519.0,245519.0,245519.0,247519.0,248259.0,248119.0,248399.0,248479.0,248679.0,248739.0,248899.0
248579.0,248579.0,248579.0,250119.0,250819.0,250719.0,251059.0,251179.0,251299.0,251339.0,251459.0
