0,1,2,3,4,5,6,7,8,9,10
91819.0,91839.0,91579.0,95719.0,99339.0,102059.0,101979.0,102459.0,103059.0,103059.0,103299.0
92219.0,91919.0,92079.0,95579.0,99239.0,101899.0,101979.0,102619.0,102959.0,103099.0,103319.0
92659.0,92579.0,92439.0,95379.0,99119.0,101739.0,101559.0,102259.0,102779.0,102859.0,103059.0
93359.0,92779.0,93479.0,96239.0,99439.0,101999.0,102019.0,102699.0,103019.0,103119.0,103419.0
93399.0,93479.0,93519.0,95999.0,99459.0,102299.0,102159.0,102899.0,103159.0,103279.0,103579.0
94399.0,93579.0,93579.0,95559.0,98979.0,101479.0,101419.0,102279.0,102619.0,102599.0,102939.0
93659.0,93959.0,93679.0,95779.0,98719.0,101339.0,101279.0,101999.0,102359.0,102379.0,102539.0
95239.0,95059.0,94919.0,96499.0,99459.0,101979.0,101959.0,102699.0,103079.0,102979.0,103359.0
93499.0,93759.0,93459.0,95579.0,98419.0,100799.0,100599.0,101439.0,101739.0,101819.0,101899.0
96019.0,96439.0,96279.0,96839.0,99979.0,102619.0,102339.0,103179.0,103359.0,103499.0,103659.0
92339.0,92599.0,92179.0,94379.0,97839.0,100319.0,100279.0,100979.0,101219.0,101319.0,101579.0
