0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,211419.0,214799.0,214779.0,215779.0,215839.0,216159.0,216199.0,216419.0
209379.0,209379.0,209379.0,212779.0,215579.0,215499.0,216379.0,216379.0,216659.0,216679.0,216879.0
213479.0,213479.0,213479.0,216599.0,218399.0,218119.0,218639.0,218579.0,218779.0,218799.0,218939.0
220159.0,220159.0,220159.0,222759.0,224619.0,224379.0,224839.0,224779.0,224959.0,224999.0,225159.0
224999.0,224999.0,224999.0,226759.0,228319.0,228079.0,228539.0,228499.0,228679.0,228719.0,228819.0
228439.0,228439.0,228439.0,229859.0,230439.0,230379.0,230559.0,230539.0,230659.0,230699.0,230799.0
230019.0,230019.0,230019.0,232239.0,233119.0,232779.0,232839.0,232659.0,232659.0,232619.0,232639.0
238559.0,238559.0,238559.0,242079.0,243579.0,243299.0,243719.0,243659.0,243799.0,243839.0,243959.0
242299.0,242299.0,242299.0,244339.0,245259.0,245079.0,245399.0,245379.0,245479.0,245519.0,245639.0
246659.0,246659.0,246659.0,248659.0,249479.0,249159.0,249239.0,249059.0,249019.0,248999.0,249039.0
250619.0,250619.0,250619.0,252139.0,252819.0,252859.0,252979.0,253019.0,253059.0,253059.0,253099.0
