0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,208099.0,211959.0,214799.0,214739.0,215479.0,215819.0,215959.0,216159.0
209139.0,209139.0,209139.0,210999.0,213619.0,215879.0,215739.0,216319.0,216599.0,216699.0,216859.0
215039.0,215039.0,215039.0,215919.0,217359.0,218759.0,218539.0,218839.0,218979.0,219059.0,219199.0
219139.0,219139.0,219139.0,220459.0,222199.0,223459.0,223219.0,223539.0,223739.0,223799.0,223919.0
224899.0,224899.0,224899.0,225979.0,227339.0,228239.0,227899.0,227819.0,227699.0,227559.0,227539.0
226359.0,226359.0,226359.0,227959.0,229899.0,231219.0,230919.0,231019.0,230979.0,230939.0,230959.0
234719.0,234719.0,234719.0,235439.0,236199.0,236959.0,236979.0,237499.0,237759.0,237899.0,238019.0
238459.0,238459.0,238459.0,239659.0,240959.0,241699.0,241479.0,241639.0,241839.0,241899.0,242019.0
238359.0,238359.0,238359.0,239579.0,240879.0,241739.0,241479.0,241659.0,241759.0,241839.0,241859.0
236239.0,236239.0,236239.0,237199.0,238259.0,238879.0,238639.0,238659.0,238619.0,238619.0,238639.0
248919.0,248919.0,248919.0,250739.0,252459.0,253439.0,253019.0,252899.0,252759.0,252619.0,252519.0
