0,1,2,3,4,5,6,7,8,9,10
203619.0,203619.0,203619.0,208099.0,211959.0,214799.0,214739.0,215479.0,215819.0,215959.0,216159.0
209139.0,209139.0,209139.0,210879.0,213659.0,215919.0,215779.0,216339.0,216599.0,216679.0,216839.0
214579.0,214579.0,214579.0,216579.0,219219.0,221359.0,221199.0,221719.0,221959.0,222019.0,222159.0
219879.0,219879.0,219879.0,221259.0,222919.0,224059.0,223739.0,223859.0,223879.0,223859.0,223899.0
224139.0,224139.0,224139.0,224899.0,225699.0,226519.0,226459.0,226659.0,226799.0,226859.0,226959.0
229359.0,229359.0,229359.0,230099.0,230759.0,231259.0,231179.0,231219.0,231239.0,231239.0,231279.0
234479.0,234479.0,234479.0,235359.0,236179.0,236859.0,236759.0,236799.0,236839.0,236799.0,236819.0
237259.0,237259.0,237259.0,238199.0,239079.0,239599.0,239519.0,239699.0,239899.0,240019.0,240199.0
241539.0,241539.0,241539.0,242759.0,244139.0,244879.0,244539.0,244539.0,244459.0,244399.0,244339.0
244919.0,244919.0,244919.0,245939.0,246819.0,247319.0,247219.0,247259.0,247279.0,247279.0,247339.0
251479.0,251479.0,251479.0,252459.0,253239.0,253779.0,253779.0,253799.0,253839.0,253859.0,253979.0
