0,1,2,3,4,5,6,7,8,9,10
203619.0,204859.0,217339.0,221359.0,223339.0,224519.0,224339.0,222779.0,221699.0,221339.0,221339.0
208059.0,208359.0,219519.0,223519.0,225479.0,226679.0,226479.0,224899.0,223719.0,223139.0,222859.0
204739.0,205959.0,218499.0,222519.0,224519.0,225699.0,225519.0,223939.0,222839.0,222399.0,222299.0
212679.0,212679.0,215639.0,219439.0,221339.0,222479.0,222299.0,220819.0,219919.0,219879.0,220179.0
217059.0,217059.0,217059.0,217059.0,217059.0,217839.0,219599.0,220439.0,221179.0,221859.0,222419.0
199319.0,199499.0,208559.0,212259.0,214119.0,215239.0,215059.0,213579.0,212499.0,212019.0,211799.0
231159.0,231499.0,243399.0,247659.0,249759.0,251019.0,250819.0,249139.0,247819.0,247059.0,246519.0
234459.0,234459.0,234459.0,234459.0,234459.0,236719.0,239939.0,241359.0,242399.0,243379.0,244159.0
242719.0,242719.0,243619.0,245619.0,246719.0,247499.0,247439.0,246679.0,246159.0,246059.0,246179.0
201779.0,201779.0,201779.0,201779.0,201779.0,202599.0,204639.0,205659.0,206559.0,207419.0,208119.0
227979.0,227979.0,227979.0,227979.0,227979.0,228559.0,229359.0,229699.0,229959.0,230259.0,230499.0
